"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"15933",459453680,"1/8/12","2:39:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2661 S 31ST ST"
"719040",466702154,"12/18/12","7:33:00 PM","METER PARKING VIOLATION","1045 N 6TH ST"
"437772",463690496,"8/3/12","8:26:00 PM","METER PARKING VIOLATION","1931 N FARWELL AVE"
"459466",463803734,"8/14/12","4:53:00 AM","NIGHT PARKING - WRONG SIDE","2940 N"
"553294",464980250,"9/27/12","9:27:00 PM","TOW-AWAY ZONE (BLOCKING TRAFFIC)","2524 N 21 ST"
"234860",461703104,"4/24/12","1:20:00 PM","PARKED IN SCHOOL ZONE","3754 N 12TH ST"
"375564",463065934,"6/30/12","5:15:00 AM","NIGHT PARKING - WRONG SIDE","122 E NATIONAL AVE"
"144811",460803000,"3/9/12","5:57:00 AM","NIGHT PARKING - WRONG SIDE","3451 S ILLINOIS AVE"
"156155",460731773,"3/14/12","2:45:00 AM","NIGHT PARKING - WRONG SIDE","5368 N 64TH ST"
"252625",461893924,"5/2/12","6:53:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3001 N 42ND ST"
"74417",459900151,"2/6/12","4:16:00 AM","NIGHT PARKING - WRONG SIDE","2108 N 1ST ST"
"584886",464959795,"10/13/12","2:38:00 AM","NIGHT PARKING - WRONG SIDE","5267 N 48TH ST"
"576242",465123046,"10/9/12","2:21:00 PM","METER PARKING VIOLATION","520 E KILBOURN AV"
"337807",462045743,"6/12/12","2:29:00 AM","NIGHT PARKING","4243 N 62 ST"
"247824",461682664,"4/30/12","9:22:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1830 E KANE PL"
"455706",463943476,"8/11/12","2:32:00 AM","NIGHT PARKING - WRONG SIDE","4919 N SHERMAN BLVD"
"236248",461495602,"4/25/12","7:35:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2301 E WEBSTER PL"
"159261",460821631,"3/15/12","12:43:00 PM","METER PARKING VIOLATION","3265 N MARYLAND AVE"
"238343",461497536,"4/25/12","5:41:00 AM","NIGHT PARKING","2414 S 12TH ST"
"406722",463465914,"7/18/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","844 N 26TH ST"
"292810",461963272,"5/19/12","1:45:00 PM","METER PARKING VIOLATION","1204 E BRADY ST"
"439734",463878693,"8/3/12","5:35:00 AM","NIGHT PARKING","1924 E NEWBERRY BLVD"
"671587",466110912,"11/27/12","8:17:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","644 N 20TH ST"
"644446",465718256,"11/12/12","5:31:00 AM","NIGHT PARKING - WRONG SIDE","864 N 28TH ST"
"430904",463537546,"7/31/12","3:16:00 AM","NIGHT PARKING","1040 E LYON"
"668666",465890611,"11/26/12","5:09:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","3162 N 35TH ST"
"378772",463074684,"7/3/12","3:36:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","603 N 20TH ST"
"580237",465238675,"10/11/12","4:52:00 AM","NIGHT PARKING - WRONG SIDE","3149 S 31ST ST"
"428548",463660411,"7/30/12","12:51:00 PM","METER PARKING VIOLATION","405 E BUFFALO ST"
"198152",461300361,"4/4/12","2:30:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3005 N CRAMER ST"
"430783",463416236,"7/31/12","12:00:00 PM","METER PARKING VIOLATION","2207 N PROSPECT AVE"
"45715",458462443,"1/24/12","5:33:00 AM","NIGHT PARKING - WRONG SIDE","3852 N 57TH ST"
"656952",465926263,"11/18/12","4:49:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1003 S 3RD ST"
"83197",460174002,"2/9/12","12:50:00 PM","METER PARKING VIOLATION","811 N BROADWAY"
"441588",463615773,"8/5/12","5:13:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","608 N 30TH ST"
"476992",464086921,"8/23/12","2:14:00 AM","NIGHT PARKING","1604 N HUMBOLDT AVE"
"394561",462899791,"7/11/12","3:31:00 AM","NIGHT PARKING","2827 N PIERCE ST"
"495422",464394394,"8/31/12","4:29:00 AM","NIGHT PARKING - WRONG SIDE","815 N 32ND ST"
"174482",460775965,"3/23/12","4:39:00 AM","NIGHT PARKING - WRONG SIDE","2223 S WINCHESTER ST"
"69851",459957783,"2/3/12","6:31:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","348 E CLARENCE ST"
"516390",464404220,"9/11/12","4:57:00 AM","NIGHT PARKING","1567 S 24TH ST"
"733292",466467750,"12/27/12","3:00:00 AM","NIGHT PARKING - WINTER RESTRICTED","123 E PLEASANT ST"
"119671",460148500,"2/27/12","2:32:00 AM","NIGHT PARKING - WRONG SIDE","1133 S 34 ST"
"224308",461261124,"4/18/12","1:58:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2233 S 33RD ST"
"250317",461846070,"5/1/12","9:46:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1912 E PARK PL"
"417744",463578290,"7/24/12","4:10:00 PM","METER PARKING VIOLATION","734 N 9TH ST"
"523439",464055922,"9/13/12","7:50:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"60587",458444420,"1/31/12","7:19:00 PM","METER PARKING VIOLATION","2254 S ALLIS LOT ST"
"68216",459958645,"2/2/12","1:52:00 PM","METER PARKING VIOLATION","645 N 2ND ST"
"143733",460563390,"3/8/12","3:25:00 AM","NIGHT PARKING","5027 N 67TH ST"
"114246",459984033,"2/23/12","12:45:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","730 W SCOTT ST"
"120856",460292420,"2/27/12","5:04:00 AM","NIGHT PARKING","2468 N PIERCE ST"
"326310",462247752,"6/6/12","5:43:00 AM","NIGHT PARKING","1557 S 15TH ST"
"194409",461173635,"4/3/12","2:48:00 PM","METER PARKING VIOLATION","904 E WISCONSIN AVE"
"650720",465849274,"11/15/12","6:05:00 PM","METER PARKING VIOLATION","3119 N DOWNER AVE"
"690316",466305011,"12/5/12","5:44:00 AM","NIGHT PARKING - WRONG SIDE","1413 S UNION ST"
"709237",466590305,"12/13/12","5:43:00 AM","NIGHT PARKING","2127 S 18TH ST"
"732632",466720855,"12/26/12","9:24:00 AM","METER PARKING VIOLATION","324 E ST PAUL AVE"
"187872",461024944,"3/30/12","3:04:00 AM","NIGHT PARKING","1819 N HUBBARD ST"
"628028",465521490,"11/4/12","2:36:00 AM","PARKED POSTED PRIVATE PROPERTY","1720 N COMMERCE ST"
"417487",463442335,"7/24/12","8:56:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"695963",466344336,"12/7/12","1:06:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1529 S PEARL ST"
"435832",463417253,"8/2/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","4656 N PARKWAY AVE"
"488586",464228240,"8/28/12","2:39:00 AM","NIGHT PARKING - WRONG SIDE","4204 W SILVER SPRING DR"
"193341",461083195,"4/2/12","5:21:00 AM","NIGHT PARKING","1246 N 10TH ST"
"484090",463828260,"8/25/12","3:47:00 AM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","5045 N 38TH ST"
"71081",459783671,"2/3/12","5:52:00 AM","NIGHT PARKING","7953 W FOND DU LAC AVE"
"316487",462319944,"6/1/12","3:11:00 PM","METER PARKING VIOLATION","1613 W WELLS ST"
"126744",460460895,"2/29/12","11:20:00 AM","METER PARKING VIOLATION","825 N JEFFERSON ST"
"666387",466147393,"11/24/12","3:19:00 AM","NIGHT PARKING","3261 N BARTLETT AVE"
"630680",465707620,"11/6/12","11:53:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1021 N JACKSON ST"
"480578",464066680,"8/24/12","11:17:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1001 E LOCUST ST"
"390782",463227774,"7/10/12","1:28:00 PM","METER PARKING VIOLATION","733 N 9TH ST"
"588035",465163554,"10/16/12","9:06:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3728 S 43RD ST"
"72867",460071135,"2/5/12","10:12:00 PM","PARKED IN TAXICAB STAND","1213 N WATER ST"
"686914",466265251,"12/4/12","2:52:00 AM","NIGHT PARKING - WINTER RESTRICTED","5941 N 60TH ST"
"57570",459677422,"1/30/12","5:23:00 PM","METER PARKING VIOLATION","765 N BROADWAY"
"456772",463790666,"8/13/12","5:14:00 AM","NIGHT PARKING - WRONG SIDE","3149 N 87TH ST"
"215575",461418134,"4/13/12","12:55:00 PM","METER PARKING VIOLATION","2800 N OAKLAND AVE"
"594265",465171254,"10/18/12","2:58:00 AM","NIGHT PARKING - WRONG SIDE","2419 W MELVINA ST"
"144238",460563401,"3/8/12","3:27:00 AM","NIGHT PARKING","4873 N 67TH ST"
"318107",462042674,"6/2/12","4:12:00 AM","NIGHT PARKING - WRONG SIDE","2210 N HUBBARD ST"
"638328",465874511,"11/8/12","10:55:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2400 N MURRAY AVE"
"236427",461807695,"4/25/12","2:44:00 AM","NIGHT PARKING","2579 N FARWELL AVE"
"361484",463052170,"6/23/12","4:43:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2368 N WAHL AVE"
"661316",466019794,"11/20/12","1:03:00 PM","METER PARKING VIOLATION","777 E WISCONSIN AVE"
"523787",463855976,"9/14/12","3:47:00 AM","NIGHT PARKING","1507 N MARSHALL ST"
"508242",464291026,"9/7/12","12:47:00 PM","METER PARKING VIOLATION","233 E CHICAGO ST"
"119174",460338830,"2/26/12","2:00:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1402 W GREENFIELD AVE"
"2823",459340243,"1/3/12","12:58:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","430 W AUER AVE"
"400403",463525123,"7/14/12","5:32:00 AM","NIGHT PARKING","1609 E WINDSOR PL"
"146982",458340632,"3/10/12","7:49:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","913 N 23RD ST"
"12500",459303740,"1/6/12","3:08:00 AM","NIGHT PARKING","3057 N RICHARDS ST"
"242195",461650770,"4/27/12","2:42:00 PM","METER PARKING VIOLATION","712 N 7TH ST ST"
"210697",461331533,"4/11/12","5:57:00 AM","NIGHT PARKING","910 N 23RD ST"
"199702",461225424,"4/5/12","5:08:00 AM","NIGHT PARKING - WRONG SIDE","2317 W GARFIELD AVE"
"641211",465627750,"11/9/12","10:14:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","910 W JUNEAU AVE"
"127785",459283720,"3/1/12","4:08:00 AM","NIGHT PARKING","2937 N 36TH ST"
"58206",459677105,"1/30/12","1:56:00 PM","METER PARKING VIOLATION","228 E MASON ST"
"479548",464256306,"8/23/12","12:36:00 PM","METER PARKING VIOLATION","1813 E LOCUST ST"
"504674",464054463,"9/6/12","6:44:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","5623 W SHERIDAN AVE"
"176377",460946813,"3/24/12","4:29:00 PM","METER PARKING VIOLATION","2345 S KINNICKINNIC AVE"
"141864",459901164,"3/8/12","6:07:00 PM","FAILURE TO PARK IN DEFINED ANGLE SPACE","1015 S 9TH ST"
"337783",462347130,"6/12/12","2:49:00 AM","NIGHT PARKING","1755 N 51ST ST"
"13026",459263781,"1/6/12","12:06:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1105 E JUNEAU AVE"
"740832",466880444,"12/30/12","7:58:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1578 W WINDLAKE AVE"
"481273",464203040,"8/24/12","3:26:00 PM","METER PARKING VIOLATION","825 N JEFFERSON ST"
"499553",464317232,"9/4/12","6:16:00 PM","RESIDENTIAL PARKING PROGRAM","3020 N FREDERICK AVE"
"577112",465024582,"10/10/12","5:02:00 PM","METER PARKING VIOLATION","2268 S ALLIS ST"
"287396",462196770,"5/17/12","2:38:00 AM","NIGHT PARKING","4208 N 49TH ST"
"54707",459893722,"1/27/12","4:09:00 AM","NIGHT PARKING","2528 N MARYLAND AVE"
"518156",464596926,"9/12/12","5:51:00 AM","NIGHT PARKING - WRONG SIDE","6944 W MEDFORD AVE"
"578801",465029552,"10/10/12","11:35:00 AM","METER PARKING VIOLATION","331 E MENOMONEE ST"
"358317",462704104,"6/22/12","2:43:00 AM","NIGHT PARKING","6615 N 42ND ST"
"231057",461581492,"4/21/12","4:17:00 AM","NIGHT PARKING - WRONG SIDE","1819 N 39TH ST"
"189472",461025585,"3/31/12","1:51:00 AM","PARKED POSTED PRIVATE PROPERTY","1128 N 20TH ST"
"705412",466630323,"12/12/12","10:59:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","111 E WASHINGTON ST"
"87777",460164806,"2/11/12","7:39:00 AM","PARKED IN PUBLIC PROPERTY, NO PERMIT","2430 W WISCONSIN AVE"
"106169",460398245,"2/21/12","4:57:00 PM","METER PARKING VIOLATION","912 N 4TH ST"
"173925",461166263,"3/23/12","7:41:00 AM","RESIDENTIAL PARKING PROGRAM","3476 N CRAMER ST"
"163535",460876006,"3/18/12","8:55:00 PM","PARKED POSTED PRIVATE PROPERTY","6831 N DARIEN ST"
"68022",459953012,"2/2/12","4:59:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2542 N 35TH ST"
"642514",465866623,"11/10/12","3:41:00 AM","NIGHT PARKING - WRONG SIDE","1552 S LAYTON BLVD"
"442220",463832456,"8/6/12","10:11:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1101 E LYON ST"
"696537",466424114,"12/7/12","2:04:00 AM","NIGHT PARKING - WINTER RESTRICTED","1624 W BOLIVAR AVE"
"349123",462743455,"6/18/12","9:44:00 AM","METER PARKING VIOLATION","721 W WELLS ST ST"
"196908",461091886,"4/4/12","12:01:00 PM","METER PARKING VIOLATION","310 E KILBOURN AV"
"91233",460158145,"2/14/12","4:40:00 AM","NIGHT PARKING - WINTER RESTRICTED","845 N 17TH ST"
"164327",460894000,"3/19/12","5:39:00 AM","NIGHT PARKING - WRONG SIDE","1513 N 21ST ST"
"723375",466738473,"12/20/12","3:25:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1762 N CAMBRIDGE AVE"
"648811",465826454,"11/14/12","2:18:00 PM","METER PARKING VIOLATION","510 E KILBOURN AV"
"317658",461980175,"6/1/12","5:42:00 AM","NIGHT PARKING","910 E CLARKE ST"
"403062",463285465,"7/16/12","5:38:00 AM","NIGHT PARKING","2826 S 34TH ST"
"731984",466763080,"12/24/12","10:31:00 AM","METER PARKING VIOLATION","231 W MICHIGAN ST"
"414296",463224731,"7/21/12","4:29:00 AM","NIGHT PARKING","7912 W CONGRESS ST"
"209855",461189831,"4/10/12","9:35:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","901 E KNAPP ST"
"715090",466512045,"12/16/12","10:31:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3135 N FRATNEY ST"
"391709",463210941,"7/10/12","3:10:00 AM","NIGHT PARKING - WRONG SIDE","2422 S WOODWARD ST"
"490518",464338825,"8/29/12","8:16:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","139 E JUNEAU AVE"
"250543",461734486,"5/2/12","4:10:00 AM","NIGHT PARKING","2965 S 15TH ST"
"400392",463525020,"7/14/12","5:22:00 AM","NIGHT PARKING","2331 N CAMBRIDGE AVE"
"158968",460829493,"3/15/12","1:32:00 PM","METER PARKING VIOLATION","789 N JEFFERSON ST ST"
"596697",464474511,"10/19/12","10:41:00 AM","METER PARKING VIOLATION","730 N WATER ST"
"287287",462130815,"5/17/12","2:23:00 AM","NIGHT PARKING","1502 N 21ST ST"
"703685",466497275,"12/11/12","4:09:00 AM","NIGHT PARKING - WRONG SIDE","8507 W FAIRY CHASM DR"
"571916",465075225,"10/6/12","5:07:00 PM","METER PARKING VIOLATION","2335 N FARWELL AVE"
"291966",462222235,"5/19/12","5:36:00 AM","NIGHT PARKING - WRONG SIDE","637 N 2ND ST"
"193609",460862791,"4/3/12","3:46:00 AM","NIGHT PARKING - WRONG SIDE","529 E CLARKE ST"
"548458",464713465,"9/26/12","9:58:00 AM","PARKED POSTED PRIVATE PROPERTY","1650 S 6TH ST"
"582508",465283350,"10/12/12","4:31:00 AM","NIGHT PARKING","2585 S HOWELL AVE"
"476130",464036193,"8/22/12","2:37:00 AM","NIGHT PARKING - WRONG SIDE","2778 N 47TH ST"
"383275",463240702,"7/6/12","3:27:00 AM","NIGHT PARKING - WRONG SIDE","2604 W MITCHELL ST"
"657686",465954974,"11/19/12","4:11:00 PM","METER PARKING VIOLATION","215 W HIGHLAND AV"
"99753",460274091,"2/17/12","5:17:00 PM","METER PARKING VIOLATION","735 N MARSHALL ST"
"274307",461923604,"5/11/12","4:50:00 AM","NIGHT PARKING - WRONG SIDE","2481 S SUPERIOR ST"
"1710",459311635,"1/3/12","4:23:00 AM","NIGHT PARKING","1212 S 36 ST"
"19569",459430893,"1/10/12","5:32:00 AM","NIGHT PARKING","S/D 6307 W KEEFE AVE PKWY"
"666999",466031801,"11/24/12","1:19:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","740 N 2ND ST"
"277358",462108161,"5/12/12","4:36:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","832 N MILWAUKEE ST"
"450162",463863330,"8/9/12","8:17:00 AM","METER PARKING VIOLATION","1925 N FARWELL AVE"
"368855",463052730,"6/27/12","10:10:00 AM","METER PARKING VIOLATION","219 E WISCONSIN AVE"
"638210",465817155,"11/8/12","8:20:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","824 S CESAR E CHAVEZ DR"
"57568",458211471,"1/30/12","5:19:00 PM","TOW-AWAY ZONE (POSTED)","715 W WISCONSIN AVE"
"741471",466940246,"12/31/12","2:17:00 AM","NIGHT PARKING - WRONG SIDE","4221 W LLOYD ST"
"447042",463835492,"8/8/12","5:21:00 AM","NIGHT PARKING - WRONG SIDE","5800 W VIENNA AVE"
"502463",464452855,"9/5/12","4:51:00 AM","NIGHT PARKING - WRONG SIDE","1903 N HUBBARD ST"
"702549",466400292,"12/11/12","4:20:00 AM","NIGHT PARKING - WRONG SIDE","4809 W MEDFORD AVE"
"651522",465906022,"11/15/12","5:46:00 AM","NIGHT PARKING - WRONG SIDE","7477 N TEUTONIA AVE"
"232007",461397565,"4/23/12","4:52:00 PM","METER PARKING VIOLATION","202 E ERIE ST"
"284165",461964160,"5/16/12","5:16:00 AM","NIGHT PARKING - WRONG SIDE","3822 N 16TH ST"
"727983",466656853,"12/22/12","2:07:00 AM","NIGHT PARKING - WINTER RESTRICTED","3287 S CLEMENT AVE"
"109536",460195610,"2/22/12","2:28:00 PM","METER PARKING VIOLATION","1014 N 9TH ST"
"620706",465443440,"11/1/12","3:09:00 AM","NIGHT PARKING","3958 N 65TH ST"
"249099",460823580,"5/1/12","3:55:00 AM","NIGHT PARKING - WRONG SIDE","2761 S FULTON ST"
"202082",461401054,"4/6/12","8:11:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","606 N 54TH ST"
"674990",466144755,"11/29/12","4:39:00 AM","NIGHT PARKING","4308 N 75TH ST"
"498901",463886791,"9/4/12","4:21:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2534 N PROSPECT AVE"
"631813",465796914,"11/6/12","3:53:00 AM","NIGHT PARKING - WRONG SIDE","160 E DEER PL"
"98375",460290272,"2/16/12","4:54:00 PM","METER PARKING VIOLATION","626 N CASS ST"
"51623",459665662,"1/26/12","3:29:00 AM","NIGHT PARKING - WINTER RESTRICTED","238 W WELLS ST"
"618814",465732245,"10/31/12","7:28:00 AM","RESIDENTIAL PARKING PROGRAM","3312 N SHEPARD AVE"
"614567",465493685,"10/29/12","8:50:00 AM","METER PARKING VIOLATION","2210 N PROSPECT AVE"
"228704",461565602,"4/20/12","2:48:00 PM","METER PARKING VIOLATION","2141 E NORTH AVE"
"259765",461763363,"5/4/12","5:40:00 AM","NIGHT PARKING","2952 S 9TH PL"
"526847",464612260,"9/15/12","11:48:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2955 N PROSPECT AVE"
"5405",459346145,"1/4/12","8:46:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2809 N 47TH ST"
"43274",459611950,"1/23/12","4:33:00 AM","NIGHT PARKING","904 E WRIGHT ST"
"119249",460433503,"2/26/12","11:52:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","2659 N 24TH PL"
"118291",460496960,"2/25/12","3:08:00 AM","NIGHT PARKING - WRONG SIDE","811 E CONWAY ST"
"98470",460055503,"2/16/12","4:51:00 PM","METER PARKING VIOLATION","755 N CASS ST"
"253435",461832125,"5/2/12","5:14:00 AM","NIGHT PARKING","6407 W SHERIDAN AVE"
"188557",461109854,"3/30/12","11:19:00 AM","METER PARKING VIOLATION","639 N 4TH ST"
"627821",465607472,"11/4/12","7:09:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","4429 W ROHR AVE"
"388643",463121971,"7/9/12","5:51:00 AM","NIGHT PARKING - WRONG SIDE","319 N 37TH ST"
"256400",461938455,"5/3/12","9:13:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1504 N PROSPECT AVE"
"602968",465381921,"10/23/12","10:25:00 AM","METER PARKING VIOLATION","436 W ST PAUL AV"
"64296",459809755,"2/1/12","3:17:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","449 S 75TH ST"
"664700",466119216,"11/23/12","3:04:00 PM","TOW-AWAY ZONE (POSTED)","411 W WISCONSIN AVE"
"364435",462900535,"6/26/12","12:15:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1129 N CASS ST"
"636242",465791384,"11/8/12","4:04:00 AM","NIGHT PARKING","6144 W MEDFORD AVE"
"420505",463412073,"7/25/12","5:14:00 PM","METER PARKING VIOLATION","1612 W WELLS ST"
"199844",461231934,"4/5/12","5:27:00 AM","NIGHT PARKING - WRONG SIDE","2117 N 41ST ST"
"278942",462088034,"5/14/12","5:04:00 PM","METER PARKING VIOLATION","2611 N DOWNER AVE"
"214942",461207294,"4/13/12","3:12:00 AM","NIGHT PARKING - WRONG SIDE","8241 W BENDER RD"
"420621",463489574,"7/25/12","9:23:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2855 N PALMER ST"
"53507",459768466,"1/27/12","8:33:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","936 N 37TH ST"
"696381",466309701,"12/7/12","5:58:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","2678 N 47TH ST"
"338861",462593935,"6/12/12","5:03:00 PM","RESIDENTIAL PARKING PROGRAM","3328 N BARTLETT AVE"
"308843",462272436,"5/29/12","12:58:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1220 W VLIET ST"
"699964",466319910,"12/10/12","10:08:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1735 E LINNWOOD AVE"
"570279",465048286,"10/5/12","5:13:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","750 N 18TH ST"
"379562",463140392,"7/3/12","3:07:00 PM","TOW-AWAY ZONE (POSTED)","928 W WELLS ST"
"114567",460496201,"2/23/12","5:26:00 PM","METER PARKING VIOLATION","220 E BUFFALO ST"
"291825",462304555,"5/19/12","3:44:00 PM","METER PARKING VIOLATION","3464 N OAKLAND AVE"
"509548",464455025,"9/8/12","5:51:00 AM","NIGHT PARKING - WRONG SIDE","230 E RING ST"
"107881",460392354,"2/21/12","4:35:00 AM","NIGHT PARKING","5613 W MARTIN DR"
"555014",464208430,"9/28/12","8:05:00 PM","METER PARKING VIOLATION","410 E LINCOLN AVE"
"128356",460470570,"3/1/12","5:01:00 AM","NIGHT PARKING","4875 N 20TH ST"
"125764",460466495,"2/29/12","12:39:00 PM","METER PARKING VIOLATION","1041 N 6TH ST"
"665966",466119555,"11/24/12","2:53:00 AM","NIGHT PARKING - WRONG SIDE","2950 N 58TH ST"
"612417",465540843,"10/27/12","5:41:00 AM","NIGHT PARKING","1922 S LAYTON BLVD"
"454186",463925092,"8/10/12","2:43:00 AM","NIGHT PARKING","1012 E GARFIELD AVE"
"724851",663321540,"12/21/12","11:45:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1533 W LAPHAM BLVD"
"359201",462894235,"6/22/12","3:04:00 AM","NIGHT PARKING - WRONG SIDE","8890 N 96TH ST"
"231219",461778192,"4/21/12","2:35:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","847 N 15TH ST"
"331859",462633625,"6/8/12","11:42:00 AM","METER PARKING VIOLATION","733 N 2ND ST"
"560067",464986546,"10/2/12","2:56:00 PM","PARKING IN EXCESS OF 24 HOURS","1805 E NEWBERRY BLVD"
"108091",460380152,"2/21/12","11:29:00 AM","METER PARKING VIOLATION","3379 N DOWNER AVE"
"743101",466836311,"12/31/12","5:16:00 AM","NIGHT PARKING - WRONG SIDE","3751 N 21ST ST"
"524341",463977463,"9/14/12","3:29:00 AM","NIGHT PARKING","2325 N 19TH ST"
"3418",459094580,"1/4/12","5:46:00 AM","NIGHT PARKING","2951 N 59TH ST"
"221539",461474510,"4/17/12","6:46:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2203 W GRANT ST"
"378024",463011463,"7/2/12","6:57:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","821 W JUNEAU AVE"
"706267",465423700,"12/12/12","12:30:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1144 E HAMILTON ST"
"743019",466916645,"12/31/12","4:57:00 AM","NIGHT PARKING - WRONG SIDE","2647 N BOOTH ST"
"488456",464041292,"8/28/12","9:32:00 PM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","1410 N PROSPECT AVE"
"686104",466316550,"12/4/12","4:09:00 AM","NIGHT PARKING - WRONG SIDE","838 E LINUS ST"
"575864",465111522,"10/9/12","4:59:00 AM","NIGHT PARKING","2630 N 37TH ST"
"679460",466168275,"11/30/12","3:36:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2614 N STOWELL AVE"
"162694",460814712,"3/17/12","4:38:00 AM","NIGHT PARKING - WRONG SIDE","5657 N 90TH ST"
"725253",466728802,"12/21/12","4:41:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","276 E STATE ST"
"593692",465263621,"10/18/12","5:04:00 AM","NIGHT PARKING","2243 N 44TH ST"
"631835",465554961,"11/6/12","2:01:00 AM","NIGHT PARKING - WRONG SIDE","8410 W VILLARD AVE"
"392252",462939562,"7/10/12","3:04:00 AM","NIGHT PARKING","233 S 2ND ST"
"300420",462223720,"5/23/12","1:52:00 PM","METER PARKING VIOLATION","305 W MICHIGAN ST"
"114113",460310756,"2/23/12","2:28:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","1202 W HISTORIC MITCHELL ST"
"36328",459700161,"1/19/12","3:56:00 AM","NIGHT PARKING","N 57TH ST"
"93181",460190301,"2/15/12","7:02:00 AM","TOW-AWAY ZONE (POSTED)","2617 N 33RD ST"
"398685",463245543,"7/13/12","5:26:00 AM","NIGHT PARKING","6445 W SILVER SPRING DR"
"422595",463519302,"7/26/12","7:12:00 PM","FAILURE TO PARK IN DEFINED ANGLE SPACE","757 N JEFFERSON ST"
"454887",464060041,"8/11/12","3:42:00 AM","NIGHT PARKING","10111 W APPLETON AVE"
"503277",464254910,"9/5/12","2:24:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","720 E KNAPP ST"
